film_name,star,ranking,comment_num,year,direct,film_eng_name,quote,poster,genre
"楚门的世界,[可播放]",9.1,18,465731人评价,,"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,
                            1998 / 美国 / 剧情 科幻
                        ", / The Truman Show,如果再也不能见到你，祝你早安，午安，晚安。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p479682972.jpg,
"乱世佳人,[可播放]",9.2,19,275394人评价,,"
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 托...,
                            1939 / 美国 / 剧情 历史 爱情 战争
                        ", / Gone with the Wind,Tomorrow is another day.,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1963126880.jpg,
"天堂电影院,[可播放]",9.1,20,314225人评价,,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel...,
                            1988 / 意大利 法国 / 剧情 爱情
                        ", / Nuovo Cinema Paradiso,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910901025.jpg,
触不可及,9.1,21,372509人评价,,"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,
                            2011 / 法国 / 剧情 喜剧
                        ", / Intouchables,满满温情的高雅喜剧。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1454261925.jpg,
"当幸福来敲门,[可播放]",8.9,22,548404人评价,,"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...,
                            2006 / 美国 / 剧情 传记 家庭
                        ", / The Pursuit of Happyness,平民励志片。 ,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1312700628.jpg,
熔炉,9.2,23,259909人评价,,"
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...,
                            2011 / 韩国 / 剧情
                        ", / 도가니,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1363250216.jpg,
"无间道,[可播放]",9.0,24,407729人评价,,"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生,
                            2002 / 香港 / 剧情 犯罪 悬疑
                        ", / 無間道,香港电影史上永不过时的杰作。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2233971046.jpg,
搏击俱乐部,9.0,25,409346人评价,,"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...,
                            1999 / 美国 德国 / 剧情 动作 悬疑 惊悚
                        ", / Fight Club,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1910926158.jpg,
十二怒汉,9.4,26,174415人评价,,"
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,
                            1957 / 美国 / 剧情
                        ", / 12 Angry Men,1957年的理想主义。 ,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173577632.jpg,
"星际穿越,[可播放]",9.1,27,494268人评价,,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...,
                            2014 / 美国 英国 加拿大 冰岛 / 剧情 科幻 冒险
                        ", / Interstellar,爱是一种力量，让我们超越时空感知它的存在。,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2206088801.jpg,
